entry	level	loc	authority	extract_lines	rust_home	callees	note
e001_PaddingFormType	0	27	dsc/dims.h:94	94-120	schedule/ddc/transformation_util.rs:187		ALREADY PORTED as PaddingForm — a newtype over BTreeMap<PrimaryDim, PadType>, and PaddingFormType::getPadding is PaddingForm::padding at :192. DO NOT RE-PORT and DO NOT create a second type. Add the /// Replaces: e001_PaddingFormType anchor at :187 and nothing else. It is listed as a unit only because DataStructDims (e006) reads it and an agent who cannot find it invents one.
e002_DimPaddingSizes	0	13	dsc/dims.h:134	134-146	schedule/ddc/v1.rs:1358		ALREADY PORTED as PaddingSizes. ⚠ l3/dsc.rs:933 carries a SECOND reduction of the same C++ struct, narrowed to what voidPaddingIfChunking needs. Two homes for one C++ type — audit which one each caller reads before adding a field to either, and say in the report whether they must merge.
e003_SymbolicDimInfo	0	8	dsc/dims.h:148	148-155	schedule/l3/dsc.rs:989		ALREADY PORTED. MEASURED: symbolicDimInfo_ is empty on every data stage of all 187 g0 reference exports, so every consumer is the identity today — that is a measurement on a 187-program SAMPLE of 24,363, not a proof. Do not delete an arm because the sample never reached it.
e004_FailedAlloc	0	6	ddc/ddc_metadata.h:24	24-29	schedule/ddc/metadata.rs		GENUINELY ABSENT — no Rust counterpart under any name (checked FailedAlloc and Failed*). 6 lines. ⚠ AND NOT A MEMBER OF Metadata: `struct Metadata`'s body has ZERO references to FailedAlloc (measured, not assumed — an earlier draft of this row claimed it was Metadata's failure record and that was wrong). FIND ITS REAL CONSUMER in the authority tree before porting it, and name that consumer in the report; a type with no caller is dead code.
e005_CoordinateType	0	365	dsc/dsc2.h:76	76-440	schedule/dsc2.rs:188		ALREADY PORTED as Coordinate, with CoordinateCategory, AllocCoordinates and ComputeCoordinates beside it. 365 C++ lines against a much smaller Rust type: the gap is arms, not fields. ⛔ getCoordinateCategoryOfPos (dsc/dsc2.h:153) is OUT OF SCOPE — reached only from the deferred ELEM_ARR_COORD fold walk (dsc/dsc2.cpp:3833-3877) and it lands with that arm.
e006_DataStructDims	1	146	dsc/dims.h:158	158-303	schedule/l3/dsc.rs:1151	e001,e002,e003	⭐ 28 C++ fields, 8 CARRIED, 20 MISSING. Ported as StageDims. ⛔ StageDims IS DECLARED TWICE — l3/dsc.rs:1151 and ddc/transformation_util.rs:423 (the latter generic over <D>). Fix the home before adding fields; a field added to the wrong one is invisible to half the callers. ⚠ A NEGATIVE EXTENT IS THIS TYPE'S UNSET -1 (dims.h:162-193), NOT a refusal — ddc/v1.rs:794 records that. zi_/zj_/si_/sj_/r_/c_ are UNSPELLABLE as PrimaryDim exactly as StageDims::compound already documents: DEFER each with its citation, never drop it.
e007_DataInfo	0	33	dsc/dsc2.h:721	721-753	schedule/dsc2.rs:348		ALREADY PORTED. Verify field parity and anchor; it is a leaf that TransferNode and ComputeNode both read.
e008_TransferPadInfo	0	58	dsc/dsc2.h:755	755-812	schedule/dsc2.rs:1114		ALREADY PORTED as TransferPadding — TransferNode::paddingInfo_ (dsc/dsc2.h:836). Verify parity; do not create a second type.
e009_ScheduleNode	1	81	dsc/dsc2.h:444	444-524	schedule/dsc2.rs (NEW)	e005,e007	⛔⛔ THE LOAD-BEARING UNIT OF THIS CAMPAIGN. 13 C++ fields, ZERO CARRIED, AND NO RUST TYPE EXISTS — the only Rust `ScheduleNode` is an UNRELATED enum at bridges/superdsc_to_dataflow_ir/shape_constraints.rs:676. C++ has every node inherit this base (TransferNode : InheritWithClone<ScheduleNode, TransferNode>); the port FLATTENED it into five sibling structs. EIGHT of the 13 have ZERO mentions anywhere in schedule/dsc2.rs: outerLoops_ prev_ loop_ compositeLoops_ relevantComps_ elemOffset_ sizeIdx_ sizesWithGaps_. ⭐ outerLoops_/prev_/loop_ ARE THE TREE'S PARENT AND SIBLING LINKS, which is why stages/ddc_store.rs's ancestry(), ddc_store2.rs's producer_loops() and ddc_state.rs's relevant_comps() are todo!(): the question is UNANSWERABLE, not unported. Carry these fields and those three stubs answer. Rust has no inheritance — decide ONE shape (a shared `NodeBase` field on each of the five, or an enum over a common struct) and say which in the report; do NOT duplicate 13 fields five times.
e010_BlockNode	2	36	dsc/dsc2.h:526	526-561	schedule/dsc2.rs:1326	e009	ALREADY PORTED. Its VectorOfChildren (dsc/dsc2.h:529) is the child list — the other half of the tree structure e009 carries the parent half of. Verify the child links exist and are not a second arena.
